wavelength,00:00:00.000,00:00:22.975,00:00:45.958,00:01:08.948,00:01:31.929,00:01:54.909,00:02:17.891,00:02:40.876,00:03:03.856,00:03:26.841,00:03:49.826,00:04:12.811,00:04:35.799,00:04:58.777,00:05:21.760,00:05:44.746,00:06:07.733,00:06:30.720,00:06:53.705,00:07:16.686,00:07:39.671,00:08:02.650,00:08:25.637,00:08:48.622,00:09:11.602,00:09:34.582,00:09:57.567,00:10:20.555,00:10:43.550,00:11:06.535
878,40.992489,40.8316,40.937702,40.871849,41.056084,41.030315,41.211582,41.101936,41.194939,41.063316,41.092228,41.104065,40.965744,41.168941,41.019157,40.968678,41.119705,40.939072,41.014961,40.979973,41.035728,40.765728,40.99696,40.733658,41.014374,40.751518,40.921349,41.022873,40.769482,40.80558
879,41.005764,40.839638,40.942936,40.879509,41.067963,41.031094,41.228252,41.119217,41.198532,41.073895,41.106499,41.117119,40.972168,41.183819,41.028271,40.981194,41.140133,40.949661,41.024715,40.98735,41.046906,40.785072,41.007114,40.737888,41.019146,40.761028,40.929855,41.038448,40.777523,40.814949
880,41.024189,40.843586,40.961056,40.896564,41.082047,41.047092,41.243778,41.126495,41.212551,41.087646,41.111721,41.126499,40.984291,41.198978,41.042336,40.989033,41.1506,40.962742,41.043194,41.004158,41.057941,40.798805,41.02129,40.747375,41.03249,40.769775,40.943565,41.049965,40.791172,40.825439
881,41.043434,40.847382,40.980476,40.914677,41.096657,41.06448,41.259659,41.133335,41.227608,41.101971,41.116524,41.135902,40.997101,41.214565,41.057091,40.996792,41.160725,40.97633,41.062717,41.022015,41.069271,40.812553,41.036106,40.757446,41.046738,40.778713,40.957973,41.061543,40.805542,40.836292
882,41.063255,40.851292,41.000477,40.933323,41.111698,41.08239,41.276009,41.140381,41.243111,41.116718,41.121464,41.145588,41.010292,41.230618,41.072289,41.004776,41.171146,40.990326,41.082829,41.040401,41.080933,40.826714,41.051365,40.767818,41.061409,40.78791,40.972809,41.07346,40.820339,40.847462
883,41.077374,40.856255,41.008778,40.940845,41.120811,41.093281,41.28643,41.14489,41.257359,41.123329,41.1297,41.152554,41.019634,41.237633,41.079193,41.007801,41.172722,40.995895,41.094276,41.052353,41.088341,40.828342,41.063492,40.773956,41.073406,40.798183,40.985134,41.085052,40.828007,40.85355
884,41.088417,40.86187,41.010582,40.942181,41.126686,41.10033,41.293613,41.148018,41.271034,41.12542,41.139874,41.158062,41.026909,41.239635,41.081497,41.008068,41.169338,40.996773,41.10096,41.060799,41.093426,40.822933,41.073982,40.777775,41.084023,40.809166,40.99617,41.096573,40.831738,40.856838
885,41.099743,40.867619,41.012428,40.943546,41.132706,41.107567,41.30098,41.151218,41.285065,41.127567,41.150311,41.163708,41.03437,41.241684,41.083855,41.008343,41.165867,40.997677,41.107815,41.069462,41.09864,40.817387,41.08474,40.781689,41.09491,40.820423,41.007484,41.108391,40.835567,40.860214
886,41.111946,40.876362,41.019516,40.946533,41.140305,41.117653,41.308125,41.156898,41.296543,41.133553,41.16048,41.173,41.041088,41.248947,41.090065,41.011311,41.167198,41.002262,41.115711,41.079075,41.106525,40.817467,41.098034,40.789249,41.104298,40.830093,41.018856,41.122211,40.843449,40.865822
887,41.125549,40.890545,41.036301,40.952496,41.1507,41.132912,41.314709,41.16711,41.302979,41.146637,41.169945,41.188961,41.046268,41.265865,41.10339,41.019279,41.17754,41.013683,41.125401,41.090279,41.119263,40.828129,41.11581,40.803516,41.110676,40.836563,41.03009,41.139503,40.858799,40.875519
